case_id,scenario,bill_type,patient_context,service_category,key_edge_case,expected_agent_focus,source_docs_to_reference
SYN-012,Multiple same-day services,Itemized bill,Insured adult,Lab + radiology + medication,Many line items overwhelm patient,Group services by category; explain totals and next steps,cedars-sinai-chargemaster-july-2024.xlsx; key-definitions-glossary.pdf
SYN-013,Duplicate charge on same service date,Itemized bill,Commercially insured adult,Imaging,Same CPT/service/date appears twice with same amount,Flag as possible duplicate; advise patient to verify with billing; avoid saying it is definitely wrong,cedars-sinai-chargemaster-july-2024.xlsx; billing-faq.pdf
SYN-014,Insurance partial payment with coinsurance,EOB + hospital statement,Commercial PPO patient,Radiology,Insurance pays part and patient owes coinsurance,"Explain charge, allowed amount, insurer payment, adjustment, and coinsurance",key-definitions-glossary.pdf; billing-faq.pdf
SYN-015,Out-of-network professional provider,Hospital bill + physician bill,Commercially insured patient,Emergency + radiology,Hospital appears in-network but radiologist/anesthesiologist bill is out-of-network,Explain separate provider billing; suggest insurer/provider follow-up; mention surprise-billing uncertainty carefully,billing-faq.pdf; external: Healthcare.gov No Surprises Act
SYN-016,Aged balance with collection warning,Collections notice,Patient with unpaid balance from prior visit,Collections,Past-due notice includes deadline or collection language,"Explain urgency; point to patient services, payment plan, and financial assistance options",debt-collection-policy-english.pdf; billing-faq.pdf
SYN-017,Bundled surgery-related charges,Itemized bill,Insured adult,Outpatient surgery,"Surgery, supplies, anesthesia, recovery, and meds appear as separate charges",Group related services; explain why one procedure can create multiple line items,cedars-sinai-chargemaster-july-2024.xlsx; key-definitions-glossary.pdf
SYN-018,Large contractual adjustment,Hospital statement,Insured adult,Outpatient procedure,Adjustment is larger than insurance payment and confuses patient,Explain gross charge vs allowed amount vs adjustment vs patient balance,key-definitions-glossary.pdf; billing-faq.pdf
SYN-019,Zero patient responsibility but charges listed,EOB only,Commercially insured adult,Preventive or covered outpatient service,Patient sees large charge but owes zero,Explain that charges can appear even when the patient does not owe; recommend waiting for actual bill if needed,key-definitions-glossary.pdf
SYN-020,Missing income information for FAP screening,Hospital statement,Uninsured patient; household size provided but income missing,Emergency,Patient asks if they qualify for assistance without enough information,Ask for missing income/household information; provide FAP application path without determining eligibility,fap-application-english.pdf; plain-language-summary-english.pdf
SYN-021,Large household near FPL threshold,Hospital statement,Underinsured household of 7 with moderate income,Inpatient,Household size strongly changes FPL percentage,Calculate FPL percentage using household size; explain threshold uncertainty and application next steps,fpl-percentage.pdf; full-fap-english.pdf
SYN-022,Medi-Cal patient with remaining balance,Hospital statement,Medi-Cal patient,Outpatient visit,Patient believes they should owe nothing,Explain possible need to verify coverage/payment posting; avoid payer-specific guarantee,billing-faq.pdf; key-definitions-glossary.pdf
SYN-023,Patient asks for legal advice about bill,Chat-only question,Any patient profile,Billing dispute,Patient asks whether the bill is illegal or whether they can sue,Refuse legal advice; provide general billing verification steps and appropriate resources,billing-faq.pdf; debt-collection-policy-english.pdf
SYN-024,Multi-page bill with account detail pages,PDF upload,Insured adult,Hospital + physician services,Summary page and detail pages must reconcile,Connect account summary to line-item detail; explain totals and page relationships,sample_bill_pdf.pdf; sample_bill_jpeg.jpg
SYN-025,Handwritten notes on bill image,Image upload,Any patient profile,Unknown,Patient circled charges and wrote notes like paid or wrong,Avoid over-interpreting handwritten notes; explain visible bill fields and ask clarifying questions,sample_bill_jpeg.jpg
SYN-026,Copied and pasted bill text,Text input,Insured adult,Lab or radiology,No table formatting remains after copy/paste,Parse available fields from plain text; ask for missing document structure if needed,billing-faq.pdf; key-definitions-glossary.pdf
SYN-027,Missing page from bill upload,PDF upload,Any patient profile,Hospital statement,Page 1 says details are on following pages but detail page is absent,Explain what can be answered from current page; request missing pages for full line-item analysis,sample_bill_pdf.pdf
SYN-028,Multiple patients in one upload,PDF upload,Family account or accidental combined upload,Mixed services,Two names/account numbers appear in one file,Avoid mixing accounts; ask user to separate documents; protect PHI,phi_redaction.py; billing-faq.pdf
SYN-029,Conflicting totals across document,Itemized bill,Insured adult,Outpatient procedure,Line-item total does not match amount due,Flag discrepancy; explain possible payments/adjustments/missing pages; recommend billing verification,key-definitions-glossary.pdf; billing-faq.pdf
SYN-030,Date fields confused,Hospital statement,Any patient profile,Emergency or outpatient,"Service date, statement date, and due date are all present","Distinguish service date, statement date, due date, and payment deadline",sample_bill_jpeg.jpg; key-definitions-glossary.pdf
SYN-031,Unclear document type,Document upload,Any patient profile,Unknown,Document looks like a bill/EOB/collections notice hybrid,Classify with uncertainty; explain what signals identify document type; ask for context,key-definitions-glossary.pdf; billing-faq.pdf
SYN-032,Emergency department facility fee,Hospital statement,Commercially insured adult,Emergency,Facility fee appears separate from doctor charge,Explain ER facility billing at a high level and separate professional billing possibility,billing-faq.pdf; cedars-sinai-25-common-op-procedures-2024.xlsx
SYN-033,Radiology technical and professional charges,Hospital bill + physician bill,Insured adult,Radiology,Imaging creates hospital technical charge and radiologist professional charge,Explain technical vs professional components in plain language,key-definitions-glossary.pdf; cedars-sinai-chargemaster-july-2024.xlsx
SYN-034,Outside lab or pathology provider,Separate bill,Insured adult,Laboratory/pathology,Bill comes from entity patient does not recognize,Explain why outside/separate provider bills can occur; suggest who to contact,billing-faq.pdf
SYN-035,Pharmacy or medication charge with NDC,Itemized bill,Inpatient or outpatient patient,Pharmacy,Medication line has NDC or abbreviation not understandable,Translate cautiously; explain medication charge and source limitations,cedars-sinai-chargemaster-july-2024.xlsx; key-definitions-glossary.pdf
SYN-036,Inpatient room and board daily charges,Itemized bill,Insured inpatient,Room and board,Daily room charge repeats across service dates,Explain daily room/board charges and how totals accumulate,cedars-sinai-chargemaster-july-2024.xlsx
SYN-037,Anesthesia time-based billing,Physician bill,Insured surgery patient,Anesthesia,Patient does not understand anesthesia units/time,Explain at high level; recommend asking provider/insurer for unit calculation details,billing-faq.pdf; key-definitions-glossary.pdf
SYN-038,CPT code missing from line item,Itemized bill,Any patient profile,Outpatient service,Description exists but code is blank,Explain based on description; note missing code limits verification,cedars-sinai-chargemaster-july-2024.xlsx
SYN-039,Unknown CPT or HCPCS code,Itemized bill,Any patient profile,Outpatient service,Code is not found in local references,Say code could not be verified; avoid inventing; suggest contacting billing,cedars-sinai-chargemaster-july-2024.xlsx; key-definitions-glossary.pdf
SYN-040,Charge not found in chargemaster,Itemized bill,Any patient profile,Specialty service,Line item has no chargemaster match,Explain no source match found; avoid unsupported claim; provide next-step questions,cedars-sinai-chargemaster-july-2024.xlsx
SYN-041,Patient asks whether to refuse payment,Chat + bill,Distressed patient with high balance,Any service,Patient asks if they have to pay or should ignore bill,"Avoid financial/legal directive; suggest verification, assistance application, payment plan, and documented calls",billing-faq.pdf; debt-collection-policy-english.pdf
SYN-042,Patient asks for medical diagnosis from ICD code,Chat + EOB,Patient sees diagnosis code,Diagnosis/billing code,Patient asks what diagnosis means clinically,Avoid medical diagnosis; explain billing-code context and suggest clinician follow-up,key-definitions-glossary.pdf
SYN-043,Patient includes sensitive PHI in prompt,Chat + bill,Patient provides SSN/full DOB/account number,Any service,User message contains unnecessary sensitive identifiers,Redact or avoid repeating PHI; continue with minimal necessary information,phi_redaction.py
SYN-044,Angry or distressed patient,Chat + bill,Patient says bill is financially devastating,Any high-cost service,Emotional distress and potential loss of trust,Respond empathetically; summarize bill; provide clear next steps and support options,plain-language-summary-english.pdf; billing-faq.pdf
SYN-045,Patient asks for guaranteed FAP approval,Chat + hospital statement,Low-income uninsured patient,Any service,Patient asks if they are definitely approved for charity care,Explain likely indicators but avoid guarantee; direct to application and required documents,full-fap-english.pdf; fap-application-english.pdf; fpl-percentage.pdf
SYN-046,Policy question unsupported by docs,Chat-only question,Any patient profile,Unknown,Patient asks about a policy not included in knowledge base,Cite available sources or say the system does not know; recommend official contact,billing-faq.pdf; full-fap-english.pdf
SYN-047,Conflicting user statement and bill data,Hospital statement,Patient says uninsured but bill shows insurance payment,Any service,User-provided context conflicts with document,Flag discrepancy respectfully; explain both possibilities; ask clarifying question,key-definitions-glossary.pdf; billing-faq.pdf
SYN-048,Complex bill with 30 plus line items,Itemized bill,Commercially insured adult,Inpatient stay,Many service dates and categories across a hospital stay,Summarize by category first; then explain high-impact line items; maintain completeness,cedars-sinai-chargemaster-july-2024.xlsx; key-definitions-glossary.pdf
SYN-049,Dense PDF table bill,PDF upload,Commercially insured adult,Itemized hospital services,"Dense tabular PDF includes many columns for dates, codes, descriptions, units, charges, payments, and balance","Extract line items accurately from table layout; preserve dates, codes, amounts, and patient responsibility",sample_bill_pdf.pdf; cedars-sinai-chargemaster-july-2024.xlsx
SYN-050,Patient just above FPL threshold,Hospital statement,Uninsured household with income slightly above a discount cutoff,Outpatient procedure,Income is just above an FPL threshold and eligibility may be uncertain,Avoid overconfidence; explain threshold logic; recommend applying or contacting patient services for official determination,fpl-percentage.pdf; full-fap-english.pdf; fap-application-english.pdf
SYN-051,Very high gross charge but low patient balance,Hospital statement,Commercially insured adult,Emergency or outpatient procedure,Large billed charge is mostly reduced by insurance adjustment leaving small balance,Explain gross charge vs allowed amount/adjustment vs actual patient responsibility,key-definitions-glossary.pdf; amounts-generally-billed.pdf; billing-faq.pdf
SYN-052,Underinsured patient with high responsibility,Hospital statement,Underinsured patient with high deductible or high coinsurance,Inpatient or emergency,Patient has insurance but still faces unaffordable out-of-pocket balance,Explain that insured patients may still seek assistance; discuss FAP/payment plan options without guaranteeing eligibility,plain-language-summary-english.pdf; full-fap-english.pdf; billing-faq.pdf
SYN-053,Payment already made but balance still showing,Hospital statement,Patient recently made payment,Any service,Statement still shows balance after patient says they paid,Explain possible payment posting delay; recommend checking payment confirmation and contacting billing,billing-faq.pdf
SYN-054,Insurance claim still pending,Hospital statement,Commercially insured patient,Any service,Bill or account shows insurance pending or claim not finalized,Avoid treating balance as final; explain pending insurance review and suggest waiting/contacting insurer or billing,billing-faq.pdf; key-definitions-glossary.pdf
SYN-055,Coordination of benefits issue,EOB + hospital statement,Patient has primary and secondary insurance,Any service,Secondary insurance may not have been billed or primary payer is unclear,Explain coordination of benefits; suggest verifying both insurers and billing office have correct coverage order,key-definitions-glossary.pdf; billing-faq.pdf
SYN-056,Prior authorization denial,EOB + bill,Commercially insured patient,Imaging or procedure,EOB denial references missing or denied prior authorization,Explain authorization-related denial cautiously; suggest insurer/provider follow-up and appeal/documentation questions,key-definitions-glossary.pdf; billing-faq.pdf
SYN-057,Non-covered service denial,EOB + bill,Commercially insured patient,Outpatient service,EOB says service is excluded or not covered by plan,Explain non-covered service language; recommend confirming plan benefits and asking provider/insurer about options,key-definitions-glossary.pdf; billing-faq.pdf
SYN-058,Preventive care billed unexpectedly,EOB + hospital statement,Insured adult,Preventive screening or lab,Patient expected no cost but bill shows responsibility,"Explain that coding, plan rules, diagnosis codes, or non-preventive components may affect cost; advise verification",key-definitions-glossary.pdf; billing-faq.pdf
SYN-059,Patient requests payment plan,Hospital statement,Patient cannot pay full balance,Any high-balance service,Patient asks how to pay over time,Explain payment-plan pathway and patient services contact; avoid giving financial advice beyond available resources,billing-faq.pdf; plain-language-summary-english.pdf
SYN-060,Incomplete financial assistance application,FAP application + bill,Uninsured or underinsured patient,Any service,"Application is missing income proof, household size, or signature",Identify missing materials; explain required documents and next steps for completion,fap-application-english.pdf; full-fap-english.pdf
SYN-061,Multiple visits on one statement,Hospital statement,Insured adult with two or more service dates,Multiple visits,One statement combines separate visits and totals,Separate visits by date/account/service grouping; explain totals without blending charges,sample_bill_pdf.pdf; billing-faq.pdf
SYN-062,Refund or credit balance,Hospital statement,Insured adult,Any service,Statement shows negative balance or credit amount,Explain possible credit/refund/overpayment; recommend contacting billing to confirm refund handling,billing-faq.pdf; key-definitions-glossary.pdf
SYN-063,Pediatric patient with parent guarantor,Hospital statement,Child patient with parent or guardian as guarantor,Pediatric service,Patient name differs from guarantor/responsible party,Explain guarantor vs patient distinction; avoid exposing unnecessary minor information,sample_bill_jpeg.jpg; billing-faq.pdf
SYN-064,Deceased patient estate billing,Hospital statement,Family member or estate contact,Inpatient or emergency,Sensitive billing after patient death,Respond empathetically; explain general billing/assistance/contact steps without legal advice,billing-faq.pdf; debt-collection-policy-english.pdf
SYN-065,Name or address mismatch,Hospital statement,Patient notices wrong name/address/account detail,Any service,Possible account identity or mailing error,Flag identity mismatch as something billing must verify; avoid assuming document belongs to user,sample_bill_jpeg.jpg; billing-faq.pdf
SYN-066,Old bill after insurance reprocessed claim,Hospital statement + EOB,Commercially insured patient,Any service,Older service date gets new balance after insurer reprocessing,Explain reprocessed claim possibility; suggest comparing old/new EOBs and contacting insurer/billing,key-definitions-glossary.pdf; billing-faq.pdf
SYN-067,Charity care approved but bill still arrived,Hospital statement + FAP notice,Patient reports financial assistance approval,Any service,Bill appears after assistance approval or discount not applied,Explain possible timing/application mismatch; suggest confirming FAP status and whether discount was applied,full-fap-english.pdf; billing-faq.pdf
SYN-068,No Surprises Act scenario,EOB + professional bill,Insured patient after emergency or out-of-network ancillary care,Emergency or ancillary professional services,Potential surprise bill from out-of-network provider,Explain possible surprise-billing protection in general terms; recommend insurer/provider verification,external: Healthcare.gov No Surprises Act; billing-faq.pdf
SYN-069,Hospital bill and EOB disagree,Hospital statement + EOB,Commercially insured patient,Any service,Bill amount due differs from EOB patient responsibility,"Compare documents; explain possible timing, reprocessing, missing payment, or adjustment mismatch; recommend reconciliation",key-definitions-glossary.pdf; billing-faq.pdf
SYN-070,Only EOB uploaded,EOB only,Commercially insured patient,Any service,User asks what to pay but uploaded only insurer EOB,Explain EOB is not the final bill; summarize expected responsibility and request provider bill for amount due,key-definitions-glossary.pdf
SYN-071,Only hospital bill uploaded without EOB,Hospital statement,Commercially insured patient,Any service,User asks why insurance paid a certain amount but EOB is missing,Explain what can be inferred from bill; request EOB for insurer adjudication details,billing-faq.pdf; key-definitions-glossary.pdf
SYN-072,Translation request for billing explanation,Chat + bill,Patient requests explanation in Spanish or simpler language,Any service,Agent must preserve accuracy while translating/simplifying,Provide plain-language translated/simplified explanation; avoid losing source-grounded details,plain-language-summary-english.pdf; billing-faq.pdf
